epoch,loss,val_loss
0,181390.609375,155927.03125
1,103426.2578125,59948.125
2,65051.41015625,57516.125
3,62732.53515625,56046.70703125
4,60771.95703125,54443.3203125
5,58288.41796875,53083.1640625
6,56098.7578125,51661.78125
7,54868.95703125,50723.95703125
8,53024.33203125,49253.98046875
9,50653.4765625,47571.61328125
10,49313.1328125,46288.79296875
11,47424.26171875,44898.3046875
12,45229.04296875,43589.9609375
13,43733.79296875,42398.484375
14,42083.8125,41376.6171875
15,40250.5859375,40244.62109375
16,39014.25,40078.83984375
17,37676.01953125,38514.40625
18,36793.1171875,38092.79296875
19,36500.42578125,37739.01953125
20,36108.015625,37542.9375
21,35620.37109375,38444.765625
22,35279.73828125,37247.88671875
23,35263.55859375,37167.0078125
24,34741.9921875,39248.79296875
25,34981.984375,37398.87109375
26,34565.03515625,37190.4921875
27,34960.39453125,36984.7734375
28,34764.9609375,37165.62109375
29,34570.68359375,36875.5703125
30,34949.69921875,36949.828125
31,34527.73046875,36845.3671875
32,34342.40625,37528.0703125
33,34530.4609375,36969.26171875
34,34655.15625,36765.4296875
35,35187.6015625,37694.55078125
36,34548.62890625,37457.375
37,34380.9609375,37060.69921875
38,34400.08203125,37463.5234375
39,34402.02734375,36832.46484375
40,34663.07421875,36943.203125
41,33916.55859375,36686.29296875
42,34159.328125,36576.6015625
43,33990.1875,36572.359375
44,34330.7109375,36561.46484375
45,34437.1640625,36752.30859375
46,34156.984375,36732.109375
47,34249.734375,36557.8515625
48,34073.5,36819.80078125
49,34760.609375,36480.6640625
50,34294.51953125,37311.9296875
51,34413.43359375,37002.734375
52,34280.9140625,36370.015625
53,34018.84375,36365.53515625
54,34000.328125,36302.875
55,34116.03515625,36423.79296875
56,33897.77734375,36259.34765625
57,34089.90234375,36388.23046875
58,34045.88671875,36340.33203125
59,33631.3046875,36268.46484375
60,34088.9296875,36342.890625
61,33565.19921875,36231.9296875
62,34099.453125,36510.9453125
63,33570.16796875,36987.02734375
64,33827.2265625,36769.49609375
65,33517.9921875,36310.09375
66,33751.046875,36215.24609375
67,33942.59765625,36161.2578125
68,33671.9296875,36102.1953125
69,33566.80078125,36277.80859375
70,33742.5,36062.56640625
71,33740.32421875,37453.52734375
72,33722.2578125,35984.5078125
73,33888.859375,36544.37109375
74,33484.09375,36432.50390625
75,33879.11328125,36052.2109375
76,33591.8671875,35978.28515625
77,33347.15625,35823.671875
78,33014.828125,35778.15625
79,32972.29296875,35860.6796875
